                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    100,                0.81411,                0.44156,                0.82461,                 0.9366,                0.84573,                0.91474,                0.67844,                0.78909,                0.50971,                0.80181,             0.00084162,             0.00084162,             0.00084162
                    101,                0.80786,                0.43369,                0.82349,                0.99728,                0.84218,                 0.9137,                0.68877,                0.78505,                0.50134,                0.80225,              0.0008375,              0.0008375,              0.0008375
                    102,                0.83433,                 0.4455,                0.82523,                 0.9628,                0.81819,                0.91989,                0.68178,                0.80019,                0.49451,                0.80447,             0.00083337,             0.00083337,             0.00083337
                    103,                0.81263,                0.43711,                0.82106,                0.90026,                0.85297,                0.91197,                0.68646,                0.78291,                0.51781,                0.80336,             0.00082925,             0.00082925,             0.00082925
                    104,                0.82045,                0.43202,                0.82071,                0.97763,                0.80235,                0.91593,                0.69251,                0.76875,                0.48758,                0.79949,             0.00082513,             0.00082513,             0.00082513
                    105,                0.79624,                0.43463,                0.81963,                0.97738,                0.80692,                0.91388,                0.69994,                0.75505,                 0.4682,                0.79798,               0.000821,               0.000821,               0.000821
                    106,                0.80676,                0.44772,                0.82161,                0.92789,                0.85817,                0.91462,                0.68086,                0.79091,                 0.4827,                0.80251,             0.00081688,             0.00081688,             0.00081688
                    107,                0.81667,                0.44124,                0.82544,                0.91694,                0.88094,                0.92911,                0.68703,                0.78567,                0.47115,                0.80267,             0.00081275,             0.00081275,             0.00081275
                    108,                0.80894,                0.43602,                0.82192,                0.94959,                0.85714,                0.93568,                0.71022,                0.76504,                   0.46,                0.80007,             0.00080863,             0.00080863,             0.00080863
                    109,                0.81668,                 0.4414,                 0.8267,                0.96262,                0.80704,                0.91848,                0.69386,                0.78015,                0.49854,                0.80328,              0.0008045,              0.0008045,              0.0008045
                    110,                0.80154,                0.42626,                0.81951,                0.90969,                0.86182,                0.91768,                0.70008,                0.75459,                0.48174,                0.79837,             0.00080038,             0.00080038,             0.00080038
                    111,                0.82381,                0.44001,                0.81781,                0.96117,                0.84582,                0.92315,                0.69529,                0.80423,                0.46949,                0.80439,             0.00079625,             0.00079625,             0.00079625
                    112,                0.79051,                0.42145,                0.81633,                0.96142,                0.85324,                0.92638,                0.70202,                0.79589,                0.46799,                0.80464,             0.00079213,             0.00079213,             0.00079213
                    113,                0.79345,                0.43036,                0.81575,                0.91885,                0.88371,                0.93423,                0.70198,                0.80649,                0.46675,                0.80378,               0.000788,               0.000788,               0.000788
                    114,                0.79249,                0.42478,                0.81433,                0.96363,                0.84121,                0.91959,                0.70149,                0.79789,                 0.4739,                0.80286,             0.00078387,             0.00078387,             0.00078387
                    115,                0.78592,                0.42558,                0.81755,                0.96618,                0.85967,                0.92596,                0.69645,                0.78243,                0.46399,                0.80206,             0.00077975,             0.00077975,             0.00077975
                    116,                0.79069,                0.42721,                0.81376,                0.93953,                0.88385,                0.92905,                0.70161,                 0.7845,                0.45762,                0.80344,             0.00077563,             0.00077563,             0.00077563
                    117,                0.79517,                 0.4269,                 0.8181,                0.96772,                0.85907,                 0.9318,                0.71216,                0.76625,                0.45716,                0.80169,              0.0007715,              0.0007715,              0.0007715
                    118,                 0.8036,                0.42763,                0.81983,                0.96415,                0.84655,                0.93407,                0.71435,                0.77111,                0.47599,                0.80157,             0.00076738,             0.00076738,             0.00076738
                    119,                0.78767,                0.42479,                0.81379,                0.95117,                0.85102,                0.92209,                0.69669,                0.77913,                0.46679,                0.80179,             0.00076325,             0.00076325,             0.00076325
                    120,                0.79439,                0.42816,                 0.8164,                0.94933,                0.84323,                0.92371,                0.69177,                  0.791,                0.47327,                0.80225,             0.00075912,             0.00075912,             0.00075912
                    121,                 0.7759,                0.42231,                0.81342,                0.93254,                0.85109,                0.92038,                0.69548,                0.79472,                0.48684,                0.80241,               0.000755,               0.000755,               0.000755
                    122,                0.81085,                0.43292,                 0.8193,                0.97657,                 0.8426,                0.92353,                0.68716,                 0.7965,                 0.4767,                0.80288,             0.00075088,             0.00075088,             0.00075088
                    123,                0.76369,                0.40856,                0.81255,                0.97471,                0.86277,                0.92694,                0.69681,                0.79414,                0.45331,                0.80224,             0.00074675,             0.00074675,             0.00074675
                    124,                0.80217,                0.42442,                0.82006,                0.96648,                0.85737,                0.92478,                0.69114,                0.80016,                0.46425,                0.80239,             0.00074263,             0.00074263,             0.00074263
                    125,                0.78794,                 0.4167,                 0.8115,                0.97372,                 0.8682,                0.92679,                0.69943,                0.78203,                0.44987,                0.80075,              0.0007385,              0.0007385,              0.0007385
                    126,                 0.7802,                0.41826,                0.81806,                0.96605,                0.84697,                0.92718,                0.70993,                0.76456,                0.43995,                0.79942,             0.00073437,             0.00073437,             0.00073437
                    127,                0.78088,                0.41541,                0.81837,                0.97826,                 0.8643,                0.93954,                0.69748,                0.79785,                0.45779,                0.80134,             0.00073025,             0.00073025,             0.00073025
                    128,                0.76895,                0.41212,                0.81431,                0.96184,                0.85952,                0.93821,                 0.7108,                0.76106,                0.46031,                0.79856,             0.00072612,             0.00072612,             0.00072612
                    129,                0.76332,                0.41416,                0.81589,                0.97096,                0.82476,                0.92727,                0.70156,                0.76603,                0.44866,                 0.8006,               0.000722,               0.000722,               0.000722
                    130,                0.78794,                0.41726,                0.81272,                0.97919,                0.85057,                0.92741,                0.70887,                0.75081,                0.46782,                0.79806,             0.00071788,             0.00071788,             0.00071788
                    131,                0.77945,                0.41151,                0.81535,                0.94795,                 0.8734,                0.93712,                0.70831,                0.76307,                0.43363,                0.79872,             0.00071375,             0.00071375,             0.00071375
                    132,                0.76522,                0.40778,                0.81256,                0.97226,                0.82731,                 0.9206,                0.70362,                0.75483,                0.46814,                0.79843,             0.00070962,             0.00070962,             0.00070962
                    133,                0.76679,                0.41085,                0.81374,                0.93471,                0.85934,                0.93259,                0.70212,                0.77647,                0.45647,                0.80068,              0.0007055,              0.0007055,              0.0007055
                    134,                0.76351,                0.41181,                0.81294,                0.95398,                0.84384,                 0.9133,                0.69624,                0.75889,                0.50929,                0.79987,             0.00070137,             0.00070137,             0.00070137
                    135,                0.77357,                0.40792,                0.81664,                0.95536,                  0.867,                0.92214,                0.68954,                0.76537,                0.45265,                 0.7985,             0.00069725,             0.00069725,             0.00069725
                    136,                0.77256,                0.41263,                0.81654,                0.96885,                0.84384,                0.93363,                0.70466,                0.76483,                0.45095,                0.79824,             0.00069313,             0.00069313,             0.00069313
                    137,                0.76973,                0.41199,                0.82018,                0.97961,                0.84866,                0.93229,                0.69641,                0.77239,                0.44149,                0.79802,               0.000689,               0.000689,               0.000689
                    138,                0.76324,                0.39819,                0.81973,                0.96847,                0.85141,                0.93149,                0.71034,                0.76002,                0.46103,                 0.7978,             0.00068488,             0.00068488,             0.00068488
                    139,                0.77623,                0.41089,                0.81622,                0.93448,                0.87673,                 0.9294,                 0.7034,                0.76518,                0.45092,                0.80061,             0.00068075,             0.00068075,             0.00068075
                    140,                0.75907,                 0.3997,                0.81512,                 0.9688,                0.83832,                0.92766,                0.70089,                0.77498,                0.47112,                0.80111,             0.00067663,             0.00067663,             0.00067663
                    141,                0.75207,                0.40254,                0.81147,                0.94323,                0.84757,                 0.9222,                0.69376,                0.77118,                0.48448,                0.79855,              0.0006725,              0.0006725,              0.0006725
                    142,                 0.7493,                0.40295,                0.81207,                0.96654,                0.83255,                0.92886,                0.70341,                0.76588,                0.44736,                0.79917,             0.00066838,             0.00066838,             0.00066838
                    143,                0.74716,                0.39413,                0.81372,                0.95503,                0.83879,                0.92488,                0.71443,                0.75191,                 0.4615,                0.79782,             0.00066425,             0.00066425,             0.00066425
